10 10
0.57,0.70,0.36,0.50,0.51,0.46,0.12,0.50,0.83,0.89
0.48,0.74,0.76,0.43,0.72,0.80,0.10,0.68,0.62,0.48
0.67,0.52,0.54,0.55,0.85,0.47,0.51,0.74,0.38,0.73
0.66,0.53,0.13,0.06,0.84,0.86,0.39,0.52,0.55,0.83
0.71,0.30,0.01,0.78,0.43,0.64,0.26,0.61,0.50,0.95
0.18,0.69,0.61,0.24,0.11,0.44,0.86,0.32,0.12,0.07
0.65,0.94,0.13,0.67,0.51,0.02,0.97,0.74,0.19,0.32
0.09,0.42,0.59,0.10,0.73,0.49,0.04,0.75,0.80,0.01
0.59,0.56,0.21,0.27,0.56,0.63,0.92,0.64,0.98,0.27
0.51,0.01,0.58,0.39,0.79,0.24,0.42,0.65,0.95,0.71
